audio,duuration,size,time_to_start,cpu_to_start,mem_to_start,time_to_validate,cpu_to_validate,mem_to_validate,time_to_save,cpu_to_save,mem_to_save,time_to_generate,cpu_to_generate,mem_to_generate
media/audio/china_XC781804_-_Cinereous_Tit_-_Parus_cinereus_7F6Ilb6.mp3,49.92,1204009,2.1457672119140625e-06,45.2,93.9,0.2054898738861084,81.0,93.0,0.15573763847351074,68.9,93.0,7.605306625366211,67.7,93.7
media/audio/india_XC341159_-_Cinereous_Tit_-_Parus_cinereus.mp3,114.57598639455782,2751678,1.1920928955078125e-06,47.8,94.1,0.3044571876525879,67.5,94.2,0.40270566940307617,64.5,94.2,24.905709743499756,77.5,92.4
media/audio/india_XC380371_-_Cinereous_Tit_-_Parus_cinereus.mp3,97.08798185941043,2331629,1.9073486328125e-06,49.9,92.4,0.22144412994384766,66.7,92.4,0.16920042037963867,39.0,92.4,22.069693326950073,76.4,93.8
media/audio/india_XC547448_-_Cinereous_Tit_-_Parus_cinereus.mp3,49.008,1970461,1.9073486328125e-06,57.4,94.3,0.33452844619750977,98.5,94.3,0.0906972885131836,94.6,94.4,13.330676794052124,88.3,93.3
media/audio/indo_XC40062_-_Cinereous_Tit_-_Parus_cinereus.mp3,29.361632653061225,705977,1.9073486328125e-06,57.6,93.0,0.0809171199798584,45.5,93.0,0.05092883110046387,26.3,93.0,5.468350172042847,82.6,93.8
media/audio/indo_XC153467_-_Cinereous_Tit_-_Parus_cinereus_cinereus.mp3,85.05598639455782,2043237,1.6689300537109375e-06,57.1,94.2,0.20661306381225586,75.9,94.1,0.13517117500305176,52.9,94.2,26.157150745391846,85.0,93.3
media/audio/indo_XC582929_-_Cinereous_Tit_-_Parus_cinereus.mp3,87.0,2089631,2.384185791015625e-06,43.0,93.2,0.2935471534729004,92.3,93.3,0.0908193588256836,82.9,93.3,20.917407274246216,70.3,93.6
media/audio/malaysia_XC290920_-_Cinereous_Tit_-_Parus_cinereus.mp3,52.375510204081635,1258310,2.1457672119140625e-06,60.0,94.3,0.18268465995788574,81.1,94.2,0.08646774291992188,72.7,94.3,12.157354593276978,73.2,94.3
media/audio/malaysia_XC296407_-_Cinereous_Tit_-_Parus_cinereus.mp3,29.64573696145125,289904,2.1457672119140625e-06,44.2,94.6,0.10547518730163574,73.8,94.6,0.05730152130126953,38.1,94.3,5.367170810699463,69.6,94.9
media/audio/malaysia_XC513451_-_Cinereous_Tit_-_Parus_cinereus_ambiguus.mp3,42.336,682896,1.430511474609375e-06,50.9,94.0,0.14969086647033691,74.6,94.0,0.08009195327758789,46.4,94.0,8.687155961990356,76.0,94.7
media/audio/nepal_XC319792_-_Cinereous_Tit_-_Parus_cinereus.mp3,31.738639455782312,763028,2.1457672119140625e-06,50.7,95.3,0.1830430030822754,88.7,95.3,0.09669017791748047,84.6,95.3,6.637122869491577,78.4,88.6
media/audio/nepal_XC809158_-_Cinereous_Tit_-_Parus_cinereus.mp3,104.81154195011338,2517203,1.1920928955078125e-06,40.1,88.3,0.20526742935180664,40.3,88.4,0.3384745121002197,18.6,88.3,18.479424238204956,82.8,90.1
media/audio/pakistan_XC143248_-_Cinereous_Tit_-_Parus_cinereus.mp3,47.92653125,773135,1.6689300537109375e-06,46.6,90.1,0.14217019081115723,69.1,90.1,0.05657553672790527,55.0,90.1,4.715425491333008,69.6,90.7
media/audio/sri_XC311424_-_Cinereous_Tit_-_Parus_cinereus.mp3,61.910204081632656,1487142,2.384185791015625e-06,50.7,91.1,0.1796724796295166,60.9,91.1,0.055641889572143555,42.9,91.1,11.409911394119263,77.7,91.8
media/audio/sri_XC625315_-_Cinereous_Tit_-_Parus_cinereus.mp3,73.27002267573697,1759861,2.1457672119140625e-06,55.8,91.3,0.15675997734069824,42.4,90.5,0.05742073059082031,11.1,90.5,12.717350244522095,79.9,91.4
media/audio/sri_XC625316_-_Cinereous_Tit_-_Parus_cinereus.mp3,49.640748299319725,1193108,1.6689300537109375e-06,54.3,91.6,0.1627652645111084,86.6,91.6,0.08248591423034668,72.7,91.6,8.446848630905151,77.5,91.2
media/audio/sri_XC777397_-_Cinereous_Tit_-_Parus_cinereus.mp3,54.8253514739229,813534,2.384185791015625e-06,56.3,91.4,0.1545579433441162,69.5,91.4,0.060455322265625,54.5,91.4,8.582298755645752,71.0,92.2
media/audio/sri_XC777400_-_Cinereous_Tit_-_Parus_cinereus.mp3,72.11972789115646,1131665,1.1920928955078125e-06,48.9,91.5,0.16957402229309082,77.6,91.5,0.060579776763916016,70.8,91.5,12.037249326705933,77.0,91.8
